都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
092088,0110000046,栃木県,小山市,さつき公園,サツキコウエン,,栃木県小山市駅東通り1-14,,,36.309007,139.808706,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000047,栃木県,小山市,東雲公園,シノノメコウエン,,栃木県小山市東間々田1-12,,,36.270628,139.774201,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000048,栃木県,小山市,柴内公園,シバウチコウエン,,栃木県小山市神鳥谷2-5,,,36.301626,139.795611,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000049,栃木県,小山市,自由が丘公園,ジユウガオカ,,栃木県小山市東城南3-8,,,36.292671,139.815850,3,2,1,0,2,2,0,0,0,0,0,無,無,無,,,,,,
092088,0110000050,栃木県,小山市,城東公園,ジョウトウコウエン,,栃木県小山市城東1-19,,園内南側,36.309551,139.816697,3,2,1,0,2,2,0,1,0,1,0,有,無,無,,,,,,
092088,0110000051,栃木県,小山市,城東公園,ジョウトウコウエン,,栃木県小山市城東1-19,,園内西側,36.310078,139.815714,3,2,1,0,2,2,0,0,0,0,0,無,無,無,,,,,,
092088,0110000052,栃木県,小山市,城東公園,ジョウトウコウエン,,栃木県小山市城東1-19,,グラウンド東側,36.310327,139.816648,0,0,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
092088,0110000053,栃木県,小山市,城南公園,ジョウナンコウエン,,栃木県小山市東城南4-17,,園内北側,36.292617,139.807880,2,1,0,1,1,0,1,1,0,1,0,有,無,無,,,,,,
092088,0110000054,栃木県,小山市,城南公園,ジョウナンコウエン,,栃木県小山市東城南4-17,,園内東側,36.291930,139.809306,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
092088,0110000055,栃木県,小山市,城山公園,シロヤマコウエン,,栃木県小山市城山町1-1,,園内中央,36.319085,139.800500,4,3,1,0,2,2,0,0,0,0,0,無,無,無,,,,,,
092088,0110000056,栃木県,小山市,城山公園,シロヤマコウエン,,栃木県小山市城山町1-1,,園内南側,36.318409,139.799358,4,3,1,0,3,3,0,1,0,1,0,有,無,無,,,,,,
092088,0110000057,栃木県,小山市,青連寺公園,セイレンジコウエン,,栃木県小山市西城南2-7,,,36.299180,139.802393,1,1,0,0,0,0,0,1,1,0,0,有,無,無,,,,,,
092088,0110000058,栃木県,小山市,千手観音公園,センジュカンノンコウエン,,栃木県小山市城山町3丁目1752-19,,,36.316430,139.805960,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000059,栃木県,小山市,大正寺公園,タイショウジコウエン,,栃木県小山市西城南2-27,,,36.296128,139.803856,1,1,0,0,0,0,0,1,0,1,0,有,無,無,,,,,,
092088,0110000060,栃木県,小山市,大聖寺公園,ダイショウジコウエン,,栃木県小山市西城南6-7,,,36.290349,139.805602,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
