全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,POIコード,所在地_連結表記,建物名等(方書),緯度,経度,管理番号,公簿面積,備考
092088,0114000058,栃木県小山市,本田９号公園,ホンデンキュウゴウコウエン,1003,栃木県小山市雨ヶ谷716-11,,139.821749,36.284015,,,
092088,0114000059,栃木県小山市,本田５号公園,ホンデンゴゴウコウエン,1003,栃木県小山市雨ヶ谷772-18,,139.818756,36.283041,,,
092088,0114000060,栃木県小山市,本田８号公園,ホンデンハチゴウコウエン,1003,栃木県小山市雨ヶ谷785-22,,139.813844,36.284172,,,
092088,0114000061,栃木県小山市,本田４号公園,ホンデンヨンゴウコウエン,1003,栃木県小山市雨ヶ谷796-15,,139.814428,36.285947,,,
092088,0114000062,栃木県小山市,本田６号公園,ホンデンロクゴウコウエン,1003,栃木県小山市雨ヶ谷801-31,,139.819552,36.283781,,,
092088,0114000063,栃木県小山市,本田公園,ホンデンコウエン,1003,栃木県小山市雨ヶ谷820-23,,139.819872,36.284196,,,
092088,0114000064,栃木県小山市,本田３号公園,ホンデンサンゴウコウエン,1003,栃木県小山市雨ヶ谷826-18,,139.820572,36.28423,,,
092088,0114000065,栃木県小山市,本田７号公園,ホンデンナナゴウコウエン,1003,栃木県小山市雨ヶ谷830-25,,139.818194,36.285694,,,
092088,0114000066,栃木県小山市,木島谷公園,キジマヤコウエン,1003,栃木県小山市雨ヶ谷858-19,,139.815508,36.287256,,,
092088,0114000067,栃木県小山市,稲荷前公園,イナリマエコウエン,1003,栃木県小山市雨ヶ谷新田27-15,,139.81578,36.28777,,,
092088,0114000068,栃木県小山市,稲荷前２号公園,イナリマエニゴウコウエン,1003,栃木県小山市雨ヶ谷新田27-22,,139.815843,36.288024,,,
092088,0114000069,栃木県小山市,屋敷下４号公園,ヤシキシタヨンゴウコウエン,1003,栃木県小山市雨ヶ谷新田43-29,,139.816489,36.289496,,,
092088,0114000070,栃木県小山市,屋敷下３号公園,ヤシキシタサンゴウコウエン,1003,栃木県小山市雨ヶ谷新田47-1,,139.816401,36.29051,,,
092088,0114000071,栃木県小山市,屋敷下６号公園,ヤシキシタロクゴウコウエン,1003,栃木県小山市雨ヶ谷新田50-6,,139.817516,36.29088,,,
092088,0114000072,栃木県小山市,屋敷下２号公園,ヤシキシタニゴウコウエン,1003,栃木県小山市雨ヶ谷新田52-3,,139.818089,36.29208,,,
